TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,Lindi,DDD_CAR_C,DDD_CAR_E,DDD_CAR_NW,DDD_CAR_S,DDD_CAR_SE,DDD_CAR_SW,DDD_CAR_W
2025-03-23,23.0,31.8,26.8,84,16.0,0.0,2,285,1,130.3673635072052,0,0,0,0,0,0,1
2025-03-24,23.7,32.5,26.4,84,12.2258064516129,1.8,4,299,2,99.61538461538463,0,0,0,0,0,0,1
2025-03-25,23.6,34.6,27.3,83,1.7,5.0,3,292,1,13.85153237264055,0,0,0,0,0,0,1
2025-03-26,23.2,34.4,28.4,82,12.2258064516129,7.5,2,311,1,99.61538461538463,0,0,0,0,1,0,0
2025-03-27,24.1,32.4,26.8,87,52.0,6.5,2,107,1,423.6939313984169,0,1,0,0,0,0,0
2025-03-28,23.3,32.4,25.5,87,0.6,2.6,2,62,1,4.888776131520195,0,1,0,0,0,0,0
2025-03-29,23.0,32.4,25.9,88,47.4,3.9,2,304,1,386.2133143900954,0,0,0,0,0,0,1
2025-03-30,23.7,31.6,28.4,73,12.2258064516129,0.2,2,244,1,99.61538461538463,0,0,0,0,0,0,1
2025-03-31,23.0,32.8,27.7,76,1.0,4.3,2,291,1,8.147960219200325,0,0,0,0,0,0,1
2025-04-01,23.6,32.0,26.4,83,6.196666666666667,7.8,2,286,1,80.3404255319149,0,0,0,0,0,0,1
2025-04-02,23.8,31.8,25.2,89,6.196666666666667,3.4,4,244,1,80.3404255319149,0,0,0,0,1,0,0
2025-04-03,22.6,30.2,25.5,90,40.0,3.9,4,122,1,518.6041454453893,0,0,0,0,1,0,0
2025-04-04,22.0,31.8,26.5,78,6.0,1.2,2,193,1,77.7906218168084,0,0,0,0,1,0,0
2025-04-05,21.6,33.2,26.2,77,6.196666666666667,6.9,3,166,1,80.3404255319149,0,0,0,0,1,0,0
2025-04-06,22.6,33.0,26.5,79,6.196666666666667,6.9,2,129,1,80.3404255319149,0,0,0,0,0,1,0
2025-04-07,22.0,32.4,25.6,84,6.196666666666667,6.7,2,189,1,80.3404255319149,0,0,0,1,0,0,0
2025-04-08,22.2,31.8,26.3,87,1.6,4.7,3,301,1,20.74416581781557,0,0,0,1,0,0,0
2025-04-09,22.8,33.4,26.4,85,38.8,4.1,3,305,1,503.0460210820276,0,0,0,0,1,0,0
2025-04-10,23.4,32.4,25.5,90,11.5,5.0,2,303,1,149.0986918155494,0,1,0,0,0,0,0
2025-04-11,22.8,31.2,26.2,87,46.0,4.3,2,150,1,596.3947672621978,0,0,0,0,1,0,0
2025-04-12,23.5,33.6,26.7,84,0.2,5.0,2,283,1,2.593020727226947,0,0,0,0,0,0,1
2025-04-13,23.6,32.2,26.3,87,2.0,6.5,2,301,1,25.93020727226947,0,1,0,0,0,0,0
2025-04-14,23.0,30.6,26.0,85,4.3,4.5,9,118,2,55.74994563537935,0,0,0,0,1,0,0
2025-04-15,22.8,33.3,26.9,81,3.0,2.0,1,290,1,38.8953109084042,0,0,0,0,0,0,1
2025-04-16,23.4,33.2,26.7,85,6.196666666666667,7.6,2,232,1,80.3404255319149,0,1,0,0,0,0,0
2025-04-17,22.7,32.2,25.3,87,6.196666666666667,6.4,4,188,1,80.3404255319149,1,0,0,0,0,0,0
2025-04-18,22.6,32.8,26.0,86,23.5,4.3,2,172,1,304.6799354491662,0,1,0,0,0,0,0
2025-04-19,22.6,33.2,26.9,84,6.196666666666667,3.0,3,255,1,80.3404255319149,0,0,0,0,0,1,0
2025-04-20,24.0,30.8,26.1,88,6.196666666666667,4.1,2,219,1,80.3404255319149,0,0,0,0,0,0,1
2025-04-21,22.1,31.8,25.6,86,7.0,3.7,2,160,1,90.75572545294314,0,0,0,0,0,1,0
2025-04-22,22.8,32.0,26.5,81,2.0,6.7,2,161,1,25.93020727226947,0,0,0,1,0,0,0
2025-04-23,23.0,32.4,26.7,76,6.196666666666667,8.0,2,169,1,80.3404255319149,0,0,0,1,0,0,0
2025-04-24,21.0,33.0,25.9,81,6.196666666666667,8.0,2,206,1,80.3404255319149,0,0,0,0,1,0,0
2025-04-25,22.0,33.2,27.1,78,6.196666666666667,8.0,2,163,1,80.3404255319149,0,0,0,0,1,0,0
2025-04-26,22.0,33.0,26.3,78,6.196666666666667,8.0,3,147,2,80.3404255319149,0,0,0,0,1,0,0
2025-04-27,21.5,32.4,25.6,77,6.196666666666667,8.0,3,149,2,80.3404255319149,0,0,0,0,1,0,0
2025-04-28,19.8,32.0,24.6,75,6.196666666666667,8.0,2,169,1,80.3404255319149,0,0,0,0,1,0,0
2025-04-29,20.6,32.0,25.6,78,6.196666666666667,6.7,4,160,2,80.3404255319149,0,0,0,0,1,0,0
2025-04-30,20.6,32.6,26.2,79,6.196666666666667,8.0,3,146,2,80.3404255319149,0,0,0,0,1,0,0
2025-05-01,23.0,33.2,26.7,81,8.541935483870969,7.9,2,225,1,79.02222222222224,0,0,0,0,0,1,0
2025-05-02,22.6,33.6,26.2,86,8.541935483870969,6.2,2,127,1,79.02222222222224,0,0,0,0,1,0,0
2025-05-03,21.4,33.4,25.9,86,81.2,6.0,2,108,1,751.1885867740854,0,1,0,0,0,0,0
2025-05-04,22.2,32.9,26.2,86,12.0,6.5,3,165,1,111.0130916414904,0,0,0,0,1,0,0
2025-05-05,23.0,35.0,26.6,84,2.0,6.2,3,164,1,18.50218194024841,0,1,0,0,0,0,0
2025-05-06,23.2,33.6,26.4,86,6.5,6.3,2,255,1,60.13209130580732,0,0,0,0,1,0,0
2025-05-07,23.0,32.4,27.1,80,11.5,5.0,3,118,2,106.3875461564283,0,0,0,0,1,0,0
2025-05-08,23.4,33.4,27.1,84,8.541935483870969,6.4,2,308,1,79.02222222222224,0,0,0,0,0,0,1
2025-05-09,23.4,32.8,25.0,88,8.541935483870969,6.4,2,235,1,79.02222222222224,0,1,0,0,0,0,0
